datetime,forecast,Номер скважины
1992-04-11,12.016538386457606,0
1992-04-12,12.508334274979086,0
1992-04-13,14.401298000062711,0
1992-04-14,15.946103286194255,0
1992-04-15,16.00576688169942,0
1992-04-16,17.573634682231116,0
1992-04-17,17.616504178275463,0
1992-04-18,15.190947726266657,0
1992-04-19,19.46029750657202,0
1992-04-20,19.78878343334783,0
1992-04-21,19.71283481690425,0
1992-04-22,20.278198748671937,0
1992-04-23,21.17595986010427,0
1992-04-24,21.69316429468271,0
1992-04-25,22.057450732911853,0
1992-04-26,22.123935302930484,0
1992-04-27,22.415374001178748,0
1992-04-28,22.159752794080724,0
1992-04-29,22.026334759559475,0
1992-04-30,22.305120317995414,0
1992-05-01,22.140984910643873,0
1992-05-02,22.679646367263707,0
1992-05-03,22.649435888925822,0
1992-05-04,22.498729300604534,0
1992-05-05,20.740121231770804,0
1992-05-06,21.033890598498736,0
1992-05-07,21.184225168182223,0
1992-05-08,22.046535471874243,0
1992-05-09,21.96396495359234,0
1992-05-10,22.343383127485097,0
1992-05-11,21.969300059353998,0
1992-05-12,21.65190962002078,0
1992-05-13,21.64695235878085,0
1992-05-14,21.571225601496018,0
1992-05-15,21.40803398428941,0
1992-05-16,21.238280885415236,0
1992-05-17,21.880627255943924,0
1992-05-18,21.47960238185143,0
1992-05-19,19.578509646850886,0
1992-05-20,20.144748226939015,0
1992-05-21,20.037140167529408,0
1992-05-22,20.293449429120038,0
1992-05-23,19.98583741668362,0
1992-05-24,19.879586036054377,0
1992-05-25,20.690461122003697,0
1992-05-26,21.07848526700433,0
1992-05-27,21.976733272817647,0
1992-05-28,21.918587806029635,0
1992-05-29,21.842389227925104,0
1992-05-30,22.389310706498158,0
1992-05-31,22.404031000365052,0
1992-06-01,22.496057393184387,0
1992-06-02,22.492654080282517,0
1992-06-03,22.485390977055786,0
1992-06-04,22.449102552722977,0
1992-06-05,22.71847894642285,0
1992-06-06,22.478168413567285,0
1992-06-07,22.228089513434355,0
1992-06-08,22.287419243783567,0
1992-06-09,22.445911619429616,0
1992-06-10,22.56616344001546,0
1992-06-11,22.561110043302826,0
1992-06-12,22.01300370269648,0
1992-06-13,22.36185048069957,0
1992-06-14,22.685961977680392,0
1992-06-15,22.63670819892479,0
1992-06-16,22.811706910911184,0
1992-06-17,23.177564636153697,0
1992-06-18,23.1390254354186,0
1992-06-19,22.415346096027832,0
1992-06-20,22.166306138988194,0
1992-06-21,22.34139630284559,0
1992-06-22,22.4465446971518,0
1992-06-23,22.078345252327882,0
1992-06-24,22.028261728678558,0
1992-06-25,21.836615515346505,0
1992-06-26,22.178645852381322,0
1992-06-27,22.202493893622353,0
1992-06-28,22.22292970415862,0
1992-06-29,22.090802287830222,0
1992-06-30,21.95624666812148,0
1992-07-01,22.081395879826516,0
1992-07-02,22.09153370012823,0
1992-07-03,22.005626571278277,0
1992-07-04,22.025446555323626,0
1992-07-05,22.055294348898105,0
1992-07-06,22.13477700880368,0
1992-07-07,22.045763863065424,0
1992-07-08,22.122293269851202,0
1992-07-09,21.97393515950857,0
1992-04-11,8.900182171583257,1
1992-04-12,9.41679808979773,1
1992-04-13,8.697316217442397,1
1992-04-14,11.113261276286778,1
1992-04-15,13.168873394500936,1
1992-04-16,13.75209765745499,1
1992-04-17,14.123974083602027,1
1992-04-18,14.64481615205598,1
1992-04-19,15.0745052143461,1
1992-04-20,14.456642887069426,1
1992-04-21,15.30837328103227,1
1992-04-22,15.603110418134145,1
1992-04-23,15.896063607449845,1
1992-04-24,15.36424155760563,1
1992-04-25,16.086655369410437,1
1992-04-26,16.99845104205843,1
1992-04-27,17.4107896684285,1
1992-04-28,16.696038428039262,1
1992-04-29,16.326428256950187,1
1992-04-30,16.239347624574016,1
1992-05-01,16.184500214863778,1
1992-05-02,16.552837769915616,1
1992-05-03,18.035454862955966,1
1992-05-04,18.33309467566308,1
1992-05-05,17.39268864605209,1
1992-05-06,17.279969689062376,1
1992-05-07,16.681562566820325,1
1992-05-08,16.75490163981387,1
1992-05-09,17.12045058429685,1
1992-05-10,17.588022614106176,1
1992-05-11,16.517991804645774,1
1992-05-12,16.22616258955737,1
1992-05-13,16.768956506888205,1
1992-05-14,16.41494299107602,1
1992-05-15,16.2895143223744,1
1992-05-16,16.222151526883877,1
1992-05-17,16.75514112582551,1
1992-05-18,16.63811316902861,1
1992-05-19,16.513535815959443,1
1992-05-20,16.267205557344404,1
1992-05-21,17.153521432481426,1
1992-05-22,17.056693864433466,1
1992-05-23,17.231629605774668,1
1992-05-24,17.440936497762088,1
1992-05-25,17.314060897995528,1
1992-05-26,17.194876412675974,1
