datetime,forecast,Номер скважины
1992-04-11,11.572105072753827,0
1992-04-12,9.976352713793451,0
1992-04-13,8.73090840336722,0
1992-04-14,9.089889826599205,0
1992-04-15,9.326727078278806,0
1992-04-16,10.666252946139393,0
1992-04-17,11.79088103473556,0
1992-04-18,11.528435098588215,0
1992-04-19,11.261521599554294,0
1992-04-20,11.040430471840356,0
1992-04-21,11.41468823955538,0
1992-04-22,11.641211516270705,0
1992-04-23,11.556704856384867,0
1992-04-24,11.725907838538152,0
1992-04-25,12.078646893697956,0
1992-04-26,11.4553851241064,0
1992-04-27,11.30378319055981,0
1992-04-28,11.499471578599707,0
1992-04-29,11.496944505199288,0
1992-04-30,10.939504527034657,0
1992-05-01,11.034491723193867,0
1992-05-02,11.907482735567603,0
1992-05-03,12.247520128036298,0
1992-05-04,11.821062751990718,0
1992-05-05,11.436353384725086,0
1992-05-06,11.459040839066349,0
1992-05-07,11.321892670506655,0
1992-05-08,11.395311661079875,0
1992-05-09,11.612347818817533,0
1992-05-10,11.219643295127893,0
1992-05-11,11.425205350108586,0
1992-05-12,11.549233682232469,0
1992-05-13,11.374500794418699,0
1992-05-14,11.16701271016698,0
1992-05-15,10.967459146745133,0
1992-05-16,11.103407387600116,0
1992-05-17,11.055362021117313,0
1992-05-18,10.952654580075382,0
1992-05-19,10.970890566171773,0
1992-05-20,10.979647109248093,0
1992-05-21,10.950024359756727,0
1992-05-22,10.612465860319425,0
1992-05-23,10.956622440035378,0
1992-05-24,10.783361935747804,0
1992-05-25,10.492247972095079,0
1992-05-26,10.515539678074713,0
1992-05-27,10.591026737319263,0
1992-05-28,10.784265289890067,0
1992-05-29,10.58748369071219,0
1992-05-30,10.760160963290378,0
1992-05-31,10.960700892328752,0
1992-06-01,10.84257990655693,0
1992-06-02,10.725962719401723,0
1992-06-03,10.920964808034103,0
1992-06-04,10.864810360750818,0
1992-06-05,10.708836073890001,0
1992-06-06,10.530568949041937,0
1992-06-07,10.509796369187413,0
1992-06-08,10.549274406910339,0
1992-06-09,11.127478306392213,0
1992-06-10,11.305444130981643,0
1992-06-11,11.519594933090074,0
1992-06-12,11.378499558881396,0
1992-06-13,11.966412281805317,0
1992-06-14,12.056378895358984,0
1992-06-15,12.02756312451542,0
1992-06-16,12.03168254001523,0
1992-06-17,11.530276853240634,0
1992-06-18,11.360443480495848,0
1992-06-19,11.781545693922427,0
1992-06-20,12.134206965941425,0
1992-06-21,11.638145333162006,0
1992-06-22,11.251202902686924,0
1992-06-23,11.316904565246828,0
1992-06-24,10.79276612999068,0
1992-06-25,10.149428612179591,0
1992-06-26,9.590989651076056,0
1992-06-27,9.670494257399945,0
1992-06-28,9.217956210957833,0
1992-06-29,8.84518966385812,0
1992-06-30,8.691049870604633,0
1992-07-01,8.76370469580832,0
1992-07-02,8.755349661329495,0
1992-07-03,8.965494503904061,0
